OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
zOTU_1830	Bacteria	Proteobacteria	Proteobacteria_Incertae_Sedis	Unknown_Order	Unknown_Family	Candidatus_Tenderia	
zOTU_979	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NS9_marine_group_ge	
zOTU_1005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	OCS116_clade	OCS116_clade_ge	
zOTU_1309	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	Sva0996_marine_group_ge	
zOTU_446	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	
zOTU_504	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	FamilyI_unclassified	
zOTU_761	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Simkaniaceae_unclassified	
zOTU_58	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	
zOTU_161	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
zOTU_1539	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified	
zOTU_1616	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
zOTU_1853	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	SAR116_clade_ge	
zOTU_2135	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_or	BD2-11_terrestrial_group_fa	BD2-11_terrestrial_group_ge	
zOTU_209	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified	
zOTU_955	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	
zOTU_1048	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge	
zOTU_1096	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	JTB255_marine_benthic_group_ge	
zOTU_1132	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	UCYN-C	
zOTU_1276	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	PS1_clade	PS1_clade_ge	
zOTU_1516	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
zOTU_1519	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	
zOTU_1545	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	
zOTU_1748	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1849	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	
zOTU_1896	Bacteria	Lentisphaerae	Lentisphaerae_unclassified	Lentisphaerae_unclassified	Lentisphaerae_unclassified	Lentisphaerae_unclassified	
zOTU_1973	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_2096	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	uncultured	uncultured_ge	
zOTU_2121	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	
zOTU_943	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	
zOTU_1203	Bacteria	Verrucomicrobia	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified	
zOTU_1467	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	uncultured	
zOTU_1725	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1904	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	
zOTU_2011	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flexithrix	
zOTU_2108	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified	
zOTU_1708	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Phormidium	
zOTU_515	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_2	Surface_2_ge	
zOTU_572	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1540	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007_ge	
zOTU_1738	Bacteria	Acidobacteria	Holophagae	Subgroup_10	CA002	CA002_ge	
zOTU_1842	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_fa	BD7-8_marine_group_ge	
zOTU_2081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	
zOTU_248	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge	
zOTU_257	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_ge	
zOTU_790	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007_ge	
